Time (s),left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_elbow_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_elbow_pitch_joint
0.0,-2.4404668881718546e-16,-4.569101053916318e-17,1.4237498812193983e-16,-1.650263597573118e-16,7.628826416523797e-17,7.474763146233446e-17,-2.7304429659910873e-17,1.052877964664664e-17,-1.0528856144915948e-16,2.8880534818667916e-16,4.8904637605545935e-17,-1.3088038798710134e-16,-2.0781263658509129e-16,4.911957697541893e-17,-2.5639602118486907e-17,-7.271600065882317e-18,1.253232039582484e-17,-7.199123651734224e-17
1.0,-4.332346645932944e-16,-6.35389282403401e-17,1.8198215418599566e-16,-2.75427950673278e-16,5.90557670380254e-17,9.555709764462008e-18,-5.407630046041152e-17,2.5429690288996387e-17,-1.923596362323134e-16,5.140543135958899e-16,1.0375225351804503e-16,-2.3816614931006737e-16,-3.676662924288752e-16,2.6770301991295686e-17,8.613602806669384e-18,-2.506372407495657e-17,2.0043430940823902e-17,-1.5959216093854253e-16
2.0,-4.781042883544063e-16,-6.633050378263048e-17,1.7460888825029078e-16,-3.323835099023435e-16,5.720587631876594e-17,5.4038924680391625e-17,-4.3208050666989504e-17,3.84514403038334e-17,-1.9195627572249665e-16,5.970804601847622e-16,1.196174960766037e-16,-2.215517872937125e-16,-4.741391861220857e-16,3.128672798559592e-17,-9.318912569035111e-18,-6.785630946862861e-17,3.352481510379077e-17,-2.453021913874224e-16
3.0,-6.150189546050302e-16,-8.491645048630527e-17,2.108062102825135e-16,-4.1174316598427643e-16,5.261486533239822e-17,1.963096111267125e-17,-6.471589686719357e-17,5.181118690111714e-17,-2.5456746411429505e-16,7.301330899020576e-16,1.5610769054360657e-16,-2.664123728524942e-16,-5.391302004616283e-16,-3.823445209472031e-18,6.38633399523682e-18,-2.6707508032016422e-17,3.7147747245832014e-17,-2.3342497291713747e-16
4.0,-6.324075487670526e-16,-8.558750361477223e-17,1.795925375251852e-16,-4.168887287876247e-16,4.3381325580577496e-17,4.215577353573686e-17,-6.476358936424875e-17,6.355167919974366e-17,-2.825122598709711e-16,7.88522591827973e-16,1.7201938439830985e-16,-2.5433069935337255e-16,-5.868387581164637e-16,8.755850830319078e-18,-2.16943035834707e-18,-3.787254596485687e-17,4.704441953697762e-17,-2.7213268748221267e-16
5.0,-6.956982557434972e-16,-9.320805127638706e-17,1.9663225721728117e-16,-4.577253258402775e-16,3.626075928436672e-17,2.980906219407352e-17,-5.38460587954109e-17,8.14112121874917e-17,-3.098675287286843e-16,8.436397358812382e-16,1.8898260137838037e-16,-2.1796649675342456e-16,-6.414941418408013e-16,5.014241799518805e-18,3.761896466887412e-18,-5.992960214281071e-17,5.860779923547226e-17,-3.3280692573514395e-16
6.0,-6.908757926124001e-16,-8.315163596641563e-17,1.5172100137104168e-16,-4.553466335375106e-16,2.4318958219145363e-17,3.952266248291192e-17,-4.812949225691627e-17,9.295450402712641e-17,-3.1651328896385106e-16,8.318861063524187e-16,2.0008229383137142e-16,-1.7393542486341436e-16,-6.529791824865347e-16,-5.3635219712222595e-18,-3.3967952011843942e-18,-5.46240430288125e-17,6.530966569744046e-17,-3.4086844400880445e-16
7.0,-7.352291718468568e-16,-9.185785779057838e-17,1.6138741643762854e-16,-5.051708868624541e-16,4.424640813942956e-17,3.427161855930905e-17,-6.928415220893427e-17,1.0809534107527099e-16,-3.908099989034179e-16,8.727963768808404e-16,2.1536079032922468e-16,-1.5582607587109448e-16,-7.097391269851854e-16,1.1125881789998979e-17,-3.366532929306182e-18,-4.408899526015411e-17,7.93693177200155e-17,-3.412106764377797e-16
8.0,-7.521015214822239e-16,-1.0377262771911847e-16,1.707501528046453e-16,-5.102905711192814e-16,2.748032117704856e-17,3.343541657150643e-17,-4.806404926942195e-17,1.1396131462990393e-16,-3.6555717267265965e-16,8.890700027463051e-16,2.2802120286412216e-16,-1.3958488013690745e-16,-7.14840162803062e-16,-1.0063033017845456e-17,-4.067374272150084e-18,-1.926400030664092e-18,8.451518735256852e-17,-2.7323431091014735e-16
9.0,16.32834792137146,-17.868043184280396,4.8408761620521545,-4.579811692237855,-7.2072261571884155,2.414933145046234,-1.2616635859012604,1.5666043758392336,0.5113931745290753,-4.731537401676177,4.214075356721878,-4.844706654548645,-14.908112287521362,-6.960808038711548,0.6191772222518921,1.0741700232028961,1.3843226432800293,0.331931188702583
10.0,15.332709623189617,-17.232067998487388,2.6655911918393422,-5.27547211136282,-1.6042472657572109,-0.6085579426342926,-1.2228748494983814,1.5985598663624918,0.4542481611415645,-5.824957944712707,3.956449722939098,-3.0910297361731187,-13.798926759304072,-2.228525456689848,0.26695353056739857,0.932900914626019,1.3037181573515855,0.2310996521399025
11.0,14.382677941763587,-16.66142520073966,1.6527252668163719,-5.057710250460056,-2.6567777834405595,1.836183874445661,-1.1652483833570426,1.6316960573998396,0.4051895210474672,-6.641894739520782,3.8116108298099918,-1.8445282636511862,-12.246880591463349,-2.9860672291622032,0.37407143593785963,0.8536027257163281,1.2166937148410444,0.17699007514750734
12.0,13.394657497232847,-16.21237593076021,0.48275904409035064,-5.067942119006512,-2.411336301474976,0.057193289582317064,-1.124954576224182,1.656841095120364,0.33256175119296527,-7.0203767395033285,3.746553382653776,-1.1312214929651327,-11.203624024004789,-2.6883068361858378,0.16662545125129413,0.7981593676203476,1.1456471216290425,0.10907996707399442
13.0,12.371900628040791,-15.81428196835742,0.01947314509554765,-5.0804634753535085,-2.425585683707662,1.4731545155570918,-1.0809713965935996,1.6831116853019115,0.26231893225195047,-7.196237364421068,3.7407948268993283,-0.6544921763649638,-10.330681193606738,-2.6333808986384097,0.25415784027131577,0.7618288830426435,1.075573475142961,0.053060128886398106
14.0,11.449839687456645,-15.4718732652591,-0.6053437641037869,-5.056937257431004,-2.3948638238745135,0.42457464972658165,-1.0359456362757355,1.7005745826686527,0.20760656500023122,-7.215307243261018,3.7531769227805145,-0.38089754559574107,-9.616584047620375,-2.545759380894146,0.13429474708409594,0.7411120996164493,1.0151869431990082,0.005765282431705321
15.0,10.558068238088541,-15.155468306424057,-0.8403253694313566,-5.028664505373024,-2.369581254307029,1.2453033881663318,-0.9879795957099724,1.7169451740738966,0.162247796506233,-7.151963444701127,3.7872104946579723,-0.19229388517828383,-9.00147102085344,-2.4801428858222208,0.19489366554788778,0.7292684929198918,0.9565752883332669,-0.030912278613954958
16.0,9.768169893908105,-14.86953554573811,-1.1847002304447365,-4.955054784064387,-2.344769352868081,0.6274247760466478,-0.93969577858163,1.72672068617152,0.13051227720617609,-7.023951054774307,3.8223239031487695,-0.08861617255695275,-8.466094278189406,-2.417336026882383,0.12371200156052914,0.725076811822539,0.9046932789968387,-0.05991993828048903
17.0,9.025977825186773,-14.598351928291837,-1.309064796757192,-4.867526504026579,-2.315905541206905,1.1018757204957241,-0.8911909519416981,1.734871743884811,0.10563275927291604,-6.864268910930294,3.8640668097128303,-0.012766823269658722,-7.986388656884731,-2.3621819436493134,0.1630097485893952,0.7246674000192687,0.8548480346175014,-0.08172970746033326
18.0,8.366705176635291,-14.345583440998514,-1.5004285822654353,-4.745623417717808,-2.287977199830987,0.7370371875371169,-0.8442089264303176,1.7383619779080108,0.0889931844500127,-6.677613551513242,3.9021973784661332,0.026092000918721325,-7.553978266058749,-2.309405424214584,0.11971578667214544,0.7275326535047071,0.8099056489088321,-0.09871601207539715
