Time (s),Total Torch(N.m)
[0.0],1.7342540600562623e-15
[1.0],2.7583830310822824e-15
[2.0],3.235965644173785e-15
[3.0],3.765098516845282e-15
[4.0],3.980527314114745e-15
[5.0],4.306661952501147e-15
[6.0],4.2309794468785224e-15
[7.0],4.57323662602748e-15
[8.0],4.470735701579582e-15
[9.0],99.50621087104082
[10.0],87.37582309249039
[11.0],85.39896397360043
[12.0],79.50883387299315
[13.0],78.28821441729211
[14.0],74.33763038035778
[15.0],73.0817639782854
[16.0],70.1646867628275
[17.0],68.79229846641174
[18.0],66.44797262528307
[19.0],118.46316908336618
[20.0],111.68666394304202
[21.0],109.8954236390204
[22.0],108.43894287357652
[23.0],106.28303153353329
[24.0],104.50989841977172
[25.0],102.32641791287709
[26.0],100.45122974870377
[27.0],98.6446336388604
[28.0],97.08940010358555
[29.0],71.9159229416555
[30.0],68.68737618975635
[31.0],65.80313937936583
[32.0],64.47945336234665
[33.0],62.4055755927624
[34.0],61.61122860098175
[35.0],60.08456993387727
[36.0],59.36897854522435
[37.0],58.05224374994316
[38.0],57.26151301711102
[39.0],67.3084657642214
[40.0],59.96919173054084
[41.0],57.3814705848545
[42.0],52.42911452634498
[43.0],51.228251527395756
[44.0],47.731107047445704
[45.0],46.77084106446441
[46.0],44.30055931088455
[47.0],43.263186731708686
[48.0],41.40064709296756
[49.0],40.895218998351645
[50.0],37.785138913254016
[51.0],37.9381455903511
[52.0],36.243210721697174
[53.0],36.15235317189597
[54.0],34.974190486929075
[55.0],34.71675935946205
[56.0],33.832062704907166
[57.0],33.43201755163338
[58.0],32.675985274845395
[59.0],52.92256738879562
[60.0],45.523180270995184
[61.0],46.07640949308563
[62.0],42.48447905801436
[63.0],42.95106863536926
[64.0],40.74117223777877
[65.0],40.82192162358791
[66.0],39.323017327382324
[67.0],39.09560590126051
[68.0],37.98222388793928
[69.0],55.216885009366
[70.0],49.00789457279129
[71.0],49.26791390942604
[72.0],46.23607355615561
[73.0],46.426556959461166
[74.0],44.55481750111973
[75.0],44.39202739178443
[76.0],43.04447098263192
[77.0],42.63322608221723
[78.0],41.561707917899334
[79.0],47.45798548326138
[80.0],44.09189268444238
[81.0],44.517617064865185
[82.0],43.16536379545703
[83.0],42.92707602820344
[84.0],41.84543410719899
[85.0],41.37973978480433
[86.0],40.49037464393375
[87.0],39.941668281826395
[88.0],39.17096975529177
[89.0],47.27397528947539
[90.0],43.496322651303394
[91.0],45.012406429568685
[92.0],43.46255321525962
[93.0],43.47382825017638
[94.0],42.29348487410851
[95.0],41.95591520709962
[96.0],41.02431051931126
[97.0],40.553172687996735
[98.0],39.77539082329861
[99.0],50.38195459421561
[100.0],46.820872046813584
[101.0],47.5466385723315
[102.0],45.60480901787659
[103.0],45.391521553541814
[104.0],43.99327522394498
[105.0],43.50173200385637
[106.0],42.40639223625539
[107.0],41.794801187111176
[108.0],40.873461952773056
[109.0],54.19318604363633
[110.0],67.1319635920677
[111.0],81.12813137919017
[112.0],84.52198448035003
[113.0],86.53983752942607
[114.0],86.49962095057307
[115.0],86.01674157001797
[116.0],84.88738357237483
[117.0],83.67984922216804
[118.0],83.97457578830131
[119.0],133.94929961240203
[120.0],128.67206101753192
[121.0],131.07708099672092
[122.0],126.80545120774158
[123.0],139.3148033237545
[124.0],144.10157716716122
[125.0],140.7375718351384
[126.0],138.84329523868828
[127.0],139.63980584855238
[128.0],139.8355495842095
[129.0],197.1418443225195
[130.0],196.26690661125627
[131.0],199.4186344941385
[132.0],170.86473436851705
[133.0],174.7183343801917
[134.0],180.59732154850855
[135.0],184.80060605258564
[136.0],187.1471405781486
[137.0],189.46377154316235
[138.0],190.95041732501718
[139.0],258.00062352813643
[140.0],258.44651507249733
[141.0],258.9568338629261
[142.0],255.91463282795175
[143.0],253.14635114764977
[144.0],251.7610034640704
[145.0],251.06429886711462
[146.0],250.53567784932778
[147.0],249.07565808962158
[148.0],247.9197081180293
[149.0],219.89575227093619
[150.0],215.32575814481703
[151.0],212.33039515939927
[152.0],214.22068840355578
[153.0],216.07775092662692
[154.0],217.24421973139616
[155.0],218.09344281644684
[156.0],218.65948447800986
[157.0],220.17677084150523
[158.0],219.79215935461067
[159.0],281.40368316446165
[160.0],273.24888698507846
[161.0],273.3180390677383
[162.0],269.6134802260619
[163.0],269.0250829741513
[164.0],266.1290635136635
[165.0],265.2011400095908
[166.0],262.9036564964294
[167.0],261.57741534144776
[168.0],259.43348369227834
[169.0],247.28789312275612
[170.0],241.2722398659599
[171.0],242.80533341201402
[172.0],238.66473493323633
[173.0],238.6579776265248
[174.0],235.3803110692703
[175.0],234.7295815549458
[176.0],232.11865232798093
[177.0],231.1380366205188
[178.0],228.9799141553701
[179.0],189.417982514515
[180.0],191.1037179022701
[181.0],187.93593656948303
[182.0],187.9684323317025
[183.0],185.68369011600043
[184.0],185.23388383840197
[185.0],183.40930996976942
[186.0],182.73621967957135
[187.0],181.225394148801
[188.0],180.4451208961901
[189.0],170.1033277234766
[190.0],168.2749568252025
[191.0],168.01236383959906
[192.0],166.0208330167286
[193.0],165.84531799491577
[194.0],164.16845023018234
[195.0],163.9771313743491
[196.0],162.5297847026737
[197.0],162.33068612688928
[198.0],161.04194885610283
[199.0],153.50499530365414
[200.0],151.4225594182847
[201.0],152.05277890073026
